,Date,vendors,Debit,Credit,account
460,2024-02-08,Siddharth,0.0,15.0,chequing
461,2024-02-08,GM Paycheque,0.0,234.69,chequing
462,2024-02-07,insaf,2.0,0.0,chequing
463,2024-02-07,WALMART,84.67,0.0,chequing
464,2024-02-07,MCDONALD'S,2.09,0.0,chequing
465,2024-02-06,Smoothie UOIT,8.19,0.0,chequing
467,2024-02-05,MCDONALD'S,6.09,0.0,chequing
468,2024-02-05,WALMART,3.15,0.0,chequing
469,2024-02-05,Tim Hortons,3.14,0.0,chequing
470,2024-02-05,WALMART,34.87,0.0,chequing
471,2024-02-05,MCDONALD'S,4.19,0.0,chequing
472,2024-02-05,WALMART,1.79,0.0,chequing
473,2024-02-05,Tim Hortons,2.93,0.0,chequing
474,2024-02-05,WALMART,17.26,0.0,chequing
475,2024-02-05,MCDONALD'S,4.84,0.0,chequing
476,2024-02-05,MCDONALD'S,6.84,0.0,chequing
477,2024-02-05,Vending Machine,2.75,0.0,chequing
478,2024-02-05,Vending Machine,2.75,0.0,chequing
479,2024-02-02,Vending Machine,3.5,0.0,chequing
480,2024-02-02,Vending Machine,2.75,0.0,chequing
482,2024-02-02,Walmart Paycheque,0.0,505.12,chequing
483,2024-02-02,Home Rent,500.0,0.0,chequing
484,2024-02-01,Tim Hortons,4.19,0.0,chequing
485,2024-02-01,MISC,3.5,0.0,chequing
486,2024-02-01,Remitly Transaction,248.21,0.0,chequing
487,2024-02-01,GIC Deposit,0.0,730.0,chequing
488,2024-01-31,Service Charge Discount,0.0,16.95,chequing
489,2024-01-31,Service Charge,16.95,0.0,chequing
490,2024-01-31,Tim Hortons,1.92,0.0,chequing
491,2024-01-31,WALMART,52.3,0.0,chequing
492,2024-01-31,ChatGPT,31.16,0.0,chequing
493,2024-01-30,Tim Hortons,6.58,0.0,chequing
494,2024-01-29,Tim Hortons,1.92,0.0,chequing
495,2024-01-29,Tim Hortons,1.92,0.0,chequing
496,2024-01-29,DOLLARAMA,19.87,0.0,chequing
497,2024-01-29,Vending Machine,2.5,0.0,chequing
498,2024-01-29,Vending Machine,2.5,0.0,chequing
499,2024-01-26,DOMINOS,19.2,0.0,chequing
500,2024-01-26,Tim Hortons,1.77,0.0,chequing
501,2024-01-26,Tim Hortons,1.92,0.0,chequing
502,2024-01-25,Tim Hortons,2.93,0.0,chequing
503,2024-01-25,WALMART,13.15,0.0,chequing
504,2024-01-25,WALMART,7.63,0.0,chequing
505,2024-01-25,MCDONALD'S,1.98,0.0,chequing
506,2024-01-24,WALMART,23.53,0.0,chequing
507,2024-01-23,Tim Hortons,1.98,0.0,chequing
508,2024-01-23,Tim Hortons,6.77,0.0,chequing
509,2024-01-23,Tim Hortons,5.45,0.0,chequing
511,2024-01-19,Walmart Paycheque,0.0,660.27,chequing
512,2024-01-18,GM Paycheque,0.0,438.06,chequing
513,2024-01-17,kailas,50.0,0.0,chequing
514,2024-01-17,DC - ATHLETICS,20.0,0.0,chequing
515,2024-01-11,GM Paycheque,0.0,231.97,chequing
516,2024-01-11,Tim Hortons,3.8,0.0,chequing
517,2024-01-08,Taksh,1.87,0.0,chequing
518,2024-01-05,Walmart Paycheque,0.0,712.48,chequing
519,2024-01-05,GM Paycheque,0.0,425.05,chequing
520,2024-01-04,Remitly Transaction,245.93,0.0,chequing
522,2024-01-03,GIC Deposit,0.0,730.0,chequing
523,2024-01-02,Libin,20.0,0.0,chequing
525,2024-01-02,Tim Hortons,4.72,0.0,chequing
526,2023-12-29,Service Charge Discount,0.0,16.95,chequing
527,2023-12-29,Service Charge,16.95,0.0,chequing
529,2023-12-29,Tim Hortons,1.77,0.0,chequing
530,2023-12-29,GM Paycheque,0.0,880.31,chequing
531,2023-12-27,MISC,3.14,0.0,chequing
532,2023-12-27,Dan,2000.0,0.0,chequing
533,2023-12-27,Siddharth,0.0,500.0,chequing
